Name,Text,Target
NiceGuyTax2,"['NiceGuyTax', 'investors', 'niceGuys', 'payoutIndex', 'currentNiceGuyIndex', 'investorIndex', 'currentNiceGuy', 'index', 'niceGuyIndex', 'Investor', 'NiceGuy', 'Investor has addr', 'NiceGuy has addr', 'NiceGuyTax', '', 'currentNiceGuy is equal to msg sender', 'If msg value is different from 9 ether', 'If investorIndex is less then 8', 'investors length increments of 1', 'investors index addr is equal to msg sender', 'If investorIndex is greater then 7', 'niceGuys length increments of 1', 'niceGuys niceGuyIndex addr is equal to msg sender', 'If investorIndex is greater then 8', 'currentNiceGuy is equal to niceGuys currentNiceGuyIndex addr', 'currentNiceGuyIndex increments of 1', 'If investorIndex is less then 9', 'investorIndex increments of 1', 'investorIndex is equal to 0', 'While this balance is greater then 9 ether', 'payoutIndex increments of 1']",1
FairAndDeasy,"['fairandeasy', 'onlyowner', 'persons', 'payoutIdx', 'collectedFees', 'balance', 'owner', 'amount', 'idx', 'transactionAmount', 'Person', 'Person has etherAddress', 'Person has amount', 'fairandeasy', '', 'enter', 'setOwner', 'owner is equal to msg sender', 'If msg value is less then 1 divided by 100 ether', 'If msg value is greater then 50 ether', 'amount is equal to 50 ether', 'amount is equal to msg value', 'persons length increments of 1', 'persons idx etherAddress is equal to msg sender', 'persons idx amount is equal to amount', 'If idx is different from 0', 'collectedFees increments of 0', 'collectedFees is equal to 0', 'balance increments of amount', 'balance increments of amount', 'While balance is greater then persons payoutIdx amount divided by 100 multiplied by 150', 'balance decreases of transactionAmount', 'payoutIdx increments of 1', 'owner is equal to _owner']",1
TwoAndAHalfPonzi,"['TwoAndAHalfPonzi', 'VALUE', 'VALUEBACK', 'payouts', 'payoutIndex', 'payoutTotal', 'entryIndex', 'Payout', 'Payout has addr', 'Payout has yield', 'TwoAndAHalfPonzi', '', 'If msg value is different from VALUE', 'payouts length increments of 1', 'payouts entryIndex addr is equal to msg sender', 'payouts entryIndex yield is equal to VALUEBACK', 'While payouts payoutIndex yield is less then this balance', 'payoutTotal increments of payouts payoutIndex yield', 'payoutIndex increments of 1']",1
EthPonzi,"['PonziScheme', 'round', 'lastDepositor', 'lastDepositorAmount', 'startingAmount', 'nextAmount', 'PonziScheme', '', 'checkAmount', 'increaseRound', 'round is equal to 1', 'startingAmount is equal to _startingAmount', 'nextAmount is equal to _startingAmount', 'If round corresponds to 1', 'If msg value is different from startingAmount', 'lastDepositorAmount is equal to msg value', 'lastDepositor is equal to msg sender', 'nextAmount is equal to msg value multiplied by 2', 'If amount is different from lastDepositorAmount multiplied by 2', 'round is equal to round plus 1']",1
SquareRootPonzi,"['squareRootPonzi', 'masterCalculator', 'calculatedTo', 'index', 'to', 'z', 'MasterCalculators', 'MasterCalculators has ethereumAddress', 'MasterCalculators has name', 'MasterCalculators has squareRoot', '', 'CalculateSqrt', 'sqrt', 'If msg value corresponds to 1 finney', 'If this balance is greater then 2 finney', 'masterCalculator index ethereumAddress is equal to msg sender', 'masterCalculator index name is equal to masterly calculated: ', 'calculatedTo increments of 100 ether', 'masterCalculator index squareRoot is equal to CalculateSqrt', 'If masterCalculator length is greater then 3', 'y is equal to x', 'While z is less then y', 'y is equal to z', 'z is equal to  divided by 2', 'If x is greater then masterCalculator length plus 1']",1
TheWhaleGame,"['thewhalegame', 'onlyowner', 'persons', 'payoutIdx', 'collectedFees', 'balance', 'owner', 'amount', 'idx', 'transactionAmount', 'Person', 'Person has etherAddress', 'Person has amount', 'thewhalegame', '', 'enter', 'setOwner', 'owner is equal to msg sender', 'If msg value is less then 5 ether', 'If msg value is greater then 500 ether', 'amount is equal to 500 ether', 'amount is equal to msg value', 'persons length increments of 1', 'persons idx etherAddress is equal to msg sender', 'persons idx amount is equal to amount', 'If idx is different from 0', 'collectedFees increments of amount divided by 100 multiplied by 3', 'collectedFees is equal to 0', 'balance increments of amount minus amount divided by 100 multiplied by 3', 'balance increments of amount', 'While balance is greater then persons payoutIdx amount divided by 100 multiplied by 200', 'balance decreases of transactionAmount', 'payoutIdx increments of 1', 'owner is equal to _owner']",1
FirePonzi,"['FirePonzi', 'onlyowner', 'persons', 'payoutCursor_Id_', 'balance', 'owner', 'payoutCursor_Id', 'deposited_value', 'new_id', 'MultipliedPayout', 'Player', 'Player has etherAddress', 'Player has deposit', 'quick', '', 'enter', 'setOwner', 'owner is equal to msg sender', 'If msg value is less then 100 finney', 'If msg value is greater then 2 ether', 'deposited_value is equal to 2 ether', 'deposited_value is equal to msg value', 'persons length increments of 1', 'persons new_id etherAddress is equal to msg sender', 'persons new_id deposit is equal to deposited_value', 'balance increments of deposited_value', 'While balance is greater then persons payoutCursor_Id_ deposit divided by 100 multiplied by 115', 'balance decreases of MultipliedPayout', 'owner is equal to _owner']",1
ResetPonzi9,"['ResetPonzi', 'persons', 'niceGuys', 'payoutIdx', 'currentNiceGuyIdx', 'investor', 'currentNiceGuy', 'idx', 'ngidx', 'Person', 'NiceGuy', 'Person has addr', 'NiceGuy has addr', 'ResetPonzi', '', 'enter', 'currentNiceGuy is equal to msg sender', 'If msg value is different from 9 ether', 'If investor is less then 9', 'persons length increments of 1', 'persons idx addr is equal to msg sender', 'investor increments of 1', 'If investor is greater or equal to 9', 'niceGuys length increments of 1', 'niceGuys ngidx addr is equal to msg sender', 'investor increments of 1', 'If investor corresponds to 10', 'currentNiceGuy is equal to niceGuys currentNiceGuyIdx addr', 'investor is equal to 0', 'currentNiceGuyIdx increments of 1', 'If idx is different from 0', 'While this balance is greater then 10 ether', 'payoutIdx increments of 1']",1
WealthShare,"['WealthShare', 'onlyowner', 'depositors', 'Total_Savers', 'Fees', 'Balance', 'Total_Deposited', 'Total_Paid_Out', 'Message', 'owner', 'amount', 'minimal', 'Times', 'i', 'payout', 'nr', 'InvestorArray', 'InvestorArray has etherAddress', 'InvestorArray has amount', 'WealthShare', '', 'enter', 'owner is equal to 0xEe462A6717f17C57C826F1ad9b4d3813495296C9', 'If msg value is greater then 200 finney', 'Total_Savers is equal to depositors length plus 1', 'depositors length increments of 1', ' etherAddress is equal to msg sender', ' amount is equal to amount', 'Balance increments of amount', 'Total_Deposited increments of amount', 'Fees is equal to Balance multiplied by 1 divided by 100', 'Balance decreases of Fees', 'If Fees is different from 0', 'If Fees is less then minimal', 'Total_Paid_Out increments of Fees', None, 'i is less then Times', 'If Fees is greater then 0', 'Total_Paid_Out increments of Fees', 'Fees decreases of minimal', 'If Total_Deposited multiplied by 50 divided by 100 is less then Balance', 'While Balance is greater then 0 Invalid symbol ', 'payout is equal to Balance divided by ', 'Balance decreases of Balance divided by ', 'Total_Paid_Out increments of Balance divided by ', 'nr increments of 1', 'Message is equal to The Wealth has been paid to Depositors!', 'Message is equal to The Balance has to be at least 50% full to be able to pay out!']",1
FastRealisticPyramid2,"['FastRealisticPyramid', 'onlyowner', 'person', 'payoutIdx', 'collectedFees', 'balance', 'owner', 'idx', 'transactionAmount', 'Person', 'Person has etherAddress', 'Person has amount', 'FastRealisticPyramid', '', 'enter', 'collectFees', 'setOwner', 'owner is equal to msg sender', 'If msg value is less then 1 divided by 100 ether Invalid symbol ', 'person length increments of 1', 'person idx etherAddress is equal to msg sender', 'person idx amount is equal to msg value', 'If idx is different from 0', 'collectedFees increments of msg value divided by 10', 'balance increments of msg value', 'collectedFees increments of msg value', 'If balance is greater then person payoutIdx amount multiplied by 7 divided by 5', 'balance decreases of person payoutIdx amount multiplied by 7 divided by 5', 'payoutIdx increments of 1', 'If collectedFees corresponds to 0', 'collectedFees is equal to 0', 'owner is equal to _owner']",1
GoodFellas,"['Goodfellas', 'onlyowner', 'persons', 'payoutIdx', 'collectedFees', 'balance', 'owner', 'amount', 'idx', 'transactionAmount', 'Person', 'Person has etherAddress', 'Person has amount', 'LittleCactus', '', 'enter', 'setOwner', 'owner is equal to msg sender', 'If msg value is less then 1 divided by 100 ether', 'If msg value is greater then 50 ether', 'amount is equal to 50 ether', 'amount is equal to msg value', 'persons length increments of 1', 'persons idx etherAddress is equal to msg sender', 'persons idx amount is equal to amount', 'If idx is different from 0', 'collectedFees increments of amount divided by 10', 'collectedFees is equal to 0', 'balance increments of amount minus amount divided by 10', 'balance increments of amount', 'While balance is greater then persons payoutIdx amount divided by 100 multiplied by 300', 'balance decreases of transactionAmount', 'payoutIdx increments of 1', 'owner is equal to _owner']",1
